"obj_num","name_1","name_2","preset_amt_1","preset_amt_2","preset_amt_3","preset_amt_4","preset_amt_5","preset_amt_6","preset_amt_7","preset_amt_8","preset_amt_9","preset_amt_10","slu_priority","mi_slu_name_1","mi_slu_name_2","mi_slu_name_3","mi_slu_name_4","mi_slu_name_5","mi_slu_name_6","mi_slu_name_7","mi_slu_name_8","mlvl_class_name","prn_def_class_name","class_def_name","maj_grp_name","fam_grp_name","mi_grp_name","cond_grp_mem_name","cond_req_name","cond_allowed_name","nlu_grp","nlu_num","key_num","cost_1","cost_2","cost_3","cost_4","cost_5","cost_6","cost_7","cost_8","cost_9","cost_10"
"236","!TYPE INSTRUCT!","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","BAR MODS","","","","","","","","","","","","","","",""
"237","thai","","36","","","","","","","","","","","","","","","","","","","All Levels","CHECK ONLY","FOOD ITEM","RETAIL","MIXED DRINKS","All Items","","","","","","","","","","","","","","","",""
"238","ON SIDE","","0","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","APPETIZERS","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"239","DRESS ON SIDE","","","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"240","SPLIT PLATE","","","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"241","GLUTEN ALLERGY","","","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"242","SALAD FIRST","SALAD FIRST","","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"243","VEGAN","","","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"244","AS ENTREE","","","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"245","SAUCE ON SIDE","","","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"246","XTRA CHEESE","","1","","","","","","","","","","","EXTRAS","","","","","","","","All Levels","CHECK/KITCHEN RED","PRICED CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"247","XTRA BACON","","2","","","","","","","","","","","EXTRAS","","","","","","","","All Levels","CHECK/KITCHEN RED","PRICED CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"248","XTRA VEGGIES","","","","","","","","","","","","","EXTRAS","","","","","","","","All Levels","KITCHEN RED","PRICED CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"249","XTRA EGG","","3","","","","","","","","","","","EXTRAS","","","","","","","","All Levels","CHECK/KITCHEN RED","PRICED CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"250","DRY","","","","","","","","","","","","","OTHER MODS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","PRICED CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
